N,X,Y,Z,Time,Jitter,Time Calculated,Sender
54,-1.024,-0.002,0.001,1653088412.140397,-8.087158203196054e-05,1653088412.140478,20.0
55,-1.024,-0.002,0.002,1653088412.342718,0.0022399425506591797,1653088412.340478,20.0
56,-1.024,-0.002,0.001,1653088412.522856,-0.017621946334839933,1653088412.540478,20.0
57,-1.024,-0.002,0.001,1653088412.725241,-0.015236997604370472,1653088412.740478,20.0
58,-1.024,-0.003,0.002,1653088412.928425,-0.01205286979675435,1653088412.9404778,20.0
59,-1.024,-0.002,0.002,1653088413.131491,-0.008986997604370828,1653088413.140478,20.0
60,-1.024,-0.002,0.002,1653088413.332683,-0.007794857025146484,1653088413.340478,20.0
61,-1.0230000000000001,-0.002,0.002,1653088413.535378,-0.005099964141846769,1653088413.540478,20.0
62,-1.0230000000000001,-0.002,0.002,1653088413.737497,-0.0029808521270755506,1653088413.740478,20.0
63,-1.024,-0.002,0.002,1653088413.939859,-0.000619029998780718,1653088413.9404778,20.0
64,-1.024,-0.002,0.001,1653088414.142759,0.002281141281127219,1653088414.140478,20.0
65,-1.024,-0.002,0.001,1653088414.323115,-0.01736283302307129,1653088414.340478,20.0
66,-1.024,-0.002,0.001,1653088414.525478,-0.01500005722046005,1653088414.540478,20.0
67,-1.024,-0.002,0.002,1653088414.727678,-0.0127998828887943,1653088414.740478,20.0
68,-1.024,-0.002,0.001,1653088414.930186,-0.01029191017151021,1653088414.9404778,20.0
69,-1.024,-0.002,0.002,1653088415.132932,-0.007545995712280984,1653088415.140478,20.0
70,-1.024,-0.002,0.002,1653088415.336712,-0.0037660598754882812,1653088415.340478,20.0
71,-1.024,-0.002,0.001,1653088415.537664,-0.0028140068054209877,1653088415.540478,20.0
72,-1.024,-0.003,0.001,1653088415.741215,0.000737047195434215,1653088415.740478,20.0
73,-1.024,-0.002,0.002,1653088415.941456,0.0009781360626206492,1653088415.9404778,20.0
74,-1.024,-0.002,0.002,1653088416.123019,-0.01745896339416575,1653088416.140478,20.0
75,-1.024,-0.002,0.001,1653088416.326712,-0.013766050338745117,1653088416.340478,20.0
76,-1.024,-0.002,0.002,1653088416.527285,-0.013192844390870206,1653088416.540478,20.0
77,-1.024,-0.002,0.001,1653088416.731703,-0.008774900436401722,1653088416.740478,20.0
78,-1.024,-0.003,0.001,1653088416.932608,-0.007870054244996538,1653088416.9404778,20.0
79,-1.024,-0.002,0.002,1653088417.135766,-0.0047119140625007105,1653088417.140478,20.0
80,-1.024,-0.002,0.002,1653088417.337147,-0.0033309459686279297,1653088417.340478,20.0
81,-1.024,-0.002,0.001,1653088417.540199,-0.00027890205383229727,1653088417.540478,20.0
82,-1.024,-0.002,0.002,1653088417.743366,0.0028880596160867356,1653088417.740478,20.0
83,-1.024,-0.002,0.002,1653088417.921848,-0.018629884719850054,1653088417.9404778,20.0
84,-1.024,-0.002,0.002,1653088418.125708,-0.014769840240479226,1653088418.140478,20.0
85,-1.024,-0.002,0.001,1653088418.327963,-0.012514829635620117,1653088418.340478,20.0
86,-1.024,-0.002,0.001,1653088418.529706,-0.010771942138671164,1653088418.540478,20.0
87,-1.024,-0.002,0.001,1653088418.732008,-0.0084699630737326,1653088418.740478,20.0
88,-1.024,-0.002,0.002,1653088418.935158,-0.005319929122926226,1653088418.9404778,20.0
89,-1.024,-0.002,0.002,1653088419.137545,-0.002932834625244851,1653088419.140478,20.0
90,-1.024,-0.002,0.002,1653088419.339251,-0.0012269020080566406,1653088419.340478,20.0
91,-1.025,-0.002,0.001,1653088419.543428,0.0029500007629401637,1653088419.540478,20.0
92,-1.024,-0.002,0.002,1653088419.744895,0.004417037963865056,1653088419.740478,20.0
93,-1.024,-0.002,0.002,1653088419.925438,-0.015040016174317827,1653088419.9404778,20.0
94,-1.024,-0.001,0.002,1653088420.127427,-0.01305084228515696,1653088420.140478,20.0
95,-1.024,-0.002,0.002,1653088420.330932,-0.009546041488647461,1653088420.340478,20.0
96,-1.024,-0.002,0.001,1653088420.533258,-0.007219982147219639,1653088420.540478,20.0
97,-1.024,-0.002,0.002,1653088420.735762,-0.004716062545778499,1653088420.740478,20.0
98,-1.024,-0.002,0.001,1653088420.937787,-0.002690887451173296,1653088420.9404778,20.0
99,-1.024,-0.002,0.002,1653088421.140126,-0.0003519535064704371,1653088421.140478,20.0
100,-1.024,-0.002,0.001,1653088421.342728,0.0022499561309814453,1653088421.340478,20.0
101,-1.024,-0.002,0.001,1653088421.545436,0.00495796203612997,1653088421.540478,20.0
102,-1.024,-0.002,0.002,1653088421.725486,-0.014991903305055843,1653088421.740478,20.0
103,-1.024,-0.003,0.002,1653088421.92816,-0.012317991256715288,1653088421.9404778,20.0
104,-1.024,-0.002,0.001,1653088422.130182,-0.010295915603638406,1653088422.140478,20.0
105,-1.024,-0.003,0.002,1653088422.334702,-0.005775928497314453,1653088422.340478,20.0
106,-1.024,-0.002,0.001,1653088422.534315,-0.006162834167483311,1653088422.540478,20.0
107,-1.024,-0.002,0.002,1653088422.737833,-0.0026449203491232254,1653088422.740478,20.0
