N,X,Y,Z,Time,Jitter,Time Calculated,Sender
296,-1.024,-0.002,0.002,1653088460.539119,-0.0013589382171659281,1653088460.540478,20.0
297,-1.024,-0.002,0.001,1653088460.740785,0.0003069400787296672,1653088460.740478,20.0
298,-1.024,-0.002,0.002,1653088460.94381,0.003332042694090376,1653088460.9404778,20.0
299,-1.024,-0.002,0.002,1653088461.146726,0.006247949600215463,1653088461.140478,20.0
300,-1.024,-0.002,0.002,1653088461.348849,0.008371114730834961,1653088461.340478,20.0
301,-1.024,-0.002,0.002,1653088461.527882,-0.01259584426880167,1653088461.540478,20.0
302,-1.024,-0.002,0.002,1653088461.730223,-0.010255002975469552,1653088461.740478,20.0
303,-1.024,-0.002,0.002,1653088461.933188,-0.007289981842042437,1653088461.9404778,20.0
304,-1.024,-0.002,0.002,1653088462.136401,-0.004077005386356802,1653088462.140478,20.0
305,-1.025,-0.001,0.002,1653088462.338915,-0.0015628337860107422,1653088462.340478,20.0
306,-1.024,-0.002,0.002,1653088462.541707,0.0012290954589815328,1653088462.540478,20.0
307,-1.024,-0.002,0.002,1653088462.74281,0.002332067489618339,1653088462.740478,20.0
308,-1.024,-0.002,0.002,1653088462.94538,0.004902029037474165,1653088462.9404778,20.0
309,-1.024,-0.002,0.002,1653088463.151106,0.01062817573546937,1653088463.140478,20.0
310,-1.024,-0.002,0.002,1653088463.328486,-0.01199197769165039,1653088463.340478,20.0
311,-1.024,-0.002,0.002,1653088463.53166,-0.008817863464358311,1653088463.540478,20.0
312,-1.025,-0.002,0.002,1653088463.734232,-0.006245994567876778,1653088463.740478,20.0
313,-1.024,-0.002,0.002,1653088463.93641,-0.004067993164063921,1653088463.9404778,20.0
314,-1.025,-0.002,0.002,1653088464.139397,-0.001081037521366568,1653088464.140478,20.0
315,-1.024,-0.002,0.002,1653088464.341858,0.0013799667358398438,1653088464.340478,20.0
316,-1.024,-0.002,0.001,1653088464.541849,0.0013709545135469625,1653088464.540478,20.0
317,-1.024,-0.002,0.002,1653088464.746883,0.006404972076410331,1653088464.740478,20.0
318,-1.024,-0.002,0.002,1653088464.949357,0.008879089355467329,1653088464.9404778,20.0
319,-1.024,-0.002,0.002,1653088465.129118,-0.011359977722172232,1653088465.140478,20.0
320,-1.024,-0.002,0.002,1653088465.353838,0.013360023498535156,1653088465.340478,20.0
321,-1.024,-0.002,0.002,1653088465.532943,-0.007534933090212803,1653088465.540478,20.0
322,-1.024,-0.002,0.002,1653088465.736627,-0.0038508415222224812,1653088465.740478,20.0
323,-1.024,-0.002,0.002,1653088465.939822,-0.0006559848785485656,1653088465.9404778,20.0
324,-1.024,-0.002,0.002,1653088466.140246,-0.00023202896117879845,1653088466.140478,20.0
325,-1.024,-0.002,0.002,1653088466.344465,0.00398707389831543,1653088466.340478,20.0
326,-1.024,-0.002,0.002,1653088466.546961,0.006483125686642666,1653088466.540478,20.0
327,-1.024,-0.002,0.002,1653088466.747731,0.007253026962274589,1653088466.740478,20.0
328,-1.024,-0.002,0.002,1653088466.927804,-0.012673950195321027,1653088466.9404778,20.0
329,-1.024,-0.002,0.002,1653088467.132267,-0.008210945129391689,1653088467.140478,20.0
330,-1.024,-0.002,0.001,1653088467.334768,-0.00570988655090332,1653088467.340478,20.0
331,-1.024,-0.002,0.002,1653088467.534374,-0.006103944778445225,1653088467.540478,20.0
332,-1.024,-0.002,0.001,1653088467.738826,-0.0016519069671687703,1653088467.740478,20.0
333,-1.024,-0.002,0.002,1653088467.940768,0.0002900600433264344,1653088467.9404778,20.0
334,-1.024,-0.002,0.001,1653088468.143652,0.0031740188598661234,1653088468.140478,20.0
335,-1.0230000000000001,-0.002,0.002,1653088468.346252,0.005774021148681641,1653088468.340478,20.0
336,-1.024,-0.002,0.002,1653088468.548842,0.008364009857174892,1653088468.540478,20.0
337,-1.024,-0.002,0.001,1653088468.728922,-0.011556053161626778,1653088468.740478,20.0
338,-1.024,-0.002,0.002,1653088468.931766,-0.008711910247811261,1653088468.9404778,20.0
339,-1.0230000000000001,-0.002,0.001,1653088469.132259,-0.008219051361081142,1653088469.140478,20.0
340,-1.024,-0.002,0.002,1653088469.337215,-0.0032629966735839844,1653088469.340478,20.0
341,-1.024,-0.002,0.002,1653088469.538488,-0.001990032196047764,1653088469.540478,20.0
342,-1.024,-0.002,0.002,1653088469.74137,0.0008920192718449016,1653088469.740478,20.0
343,-1.024,-0.002,0.002,1653088469.944644,0.004166030883780536,1653088469.9404778,20.0
344,-1.024,-0.002,0.001,1653088470.146655,0.006177139282229405,1653088470.140478,20.0
345,-1.024,-0.002,0.002,1653088470.349885,0.00940704345703125,1653088470.340478,20.0
346,-1.024,-0.002,0.001,1653088470.551774,0.011296081542965908,1653088470.540478,20.0
347,-1.024,-0.002,0.002,1653088470.732025,-0.008453035354619942,1653088470.740478,20.0
348,-1.024,-0.002,0.002,1653088470.932983,-0.007495021820076886,1653088470.9404778,20.0
349,-1.024,-0.002,0.002,1653088471.135507,-0.004970836639401455,1653088471.140478,20.0
350,-1.024,-0.002,0.002,1653088471.337961,-0.0025169849395751953,1653088471.340478,20.0
351,-1.024,-0.002,0.001,1653088471.541991,0.0015130519866914938,1653088471.540478,20.0
352,-1.024,-0.002,0.002,1653088471.743482,0.0030041694641056438,1653088471.740478,20.0
353,-1.0230000000000001,-0.002,0.001,1653088471.946876,0.006398105621329364,1653088471.9404778,20.0
354,-1.0230000000000001,-0.002,0.002,1653088472.14768,0.007202100753787022,1653088472.140478,20.0
355,-1.0230000000000001,-0.002,0.002,1653088472.351762,0.011284112930297852,1653088472.340478,20.0
356,-1.0230000000000001,-0.002,0.002,1653088472.530466,-0.010011863708498936,1653088472.540478,20.0
357,-1.0230000000000001,-0.002,0.002,1653088472.733371,-0.00710692405701252,1653088472.740478,20.0
358,-1.024,-0.002,0.002,1653088472.937182,-0.003295993804940167,1653088472.9404778,20.0
359,-1.0230000000000001,-0.002,0.002,1653088473.138064,-0.0024140357971162985,1653088473.140478,20.0
360,-1.0230000000000001,-0.002,0.002,1653088473.341649,0.001171112060546875,1653088473.340478,20.0
361,-1.0230000000000001,-0.002,0.002,1653088473.543024,0.002546119689938564,1653088473.540478,20.0
362,-1.0230000000000001,-0.002,0.002,1653088473.744963,0.0044849872589054485,1653088473.740478,20.0
363,-1.024,-0.002,0.002,1653088473.948156,0.007678174972525653,1653088473.9404778,20.0
364,-1.024,-0.002,0.002,1653088474.150589,0.010111045837405186,1653088474.140478,20.0
365,-1.024,-0.002,0.002,1653088474.331249,-0.009228944778442383,1653088474.340478,20.0
366,-1.024,-0.002,0.002,1653088474.532497,-0.007981014251711827,1653088474.540478,20.0
367,-1.024,-0.002,0.002,1653088474.736755,-0.0037230491638240437,1653088474.740478,20.0
368,-1.024,-0.002,0.002,1653088474.939095,-0.0013829231262292296,1653088474.9404778,20.0
369,-1.024,-0.002,0.002,1653088475.14173,0.0012521266937284281,1653088475.140478,20.0
370,-1.024,-0.002,0.002,1653088475.344124,0.0036461353302001953,1653088475.340478,20.0
371,-1.024,-0.002,0.002,1653088475.54657,0.006092119216916103,1653088475.540478,20.0
372,-1.024,-0.002,0.002,1653088475.749243,0.008765077590936698,1653088475.740478,20.0
373,-1.024,-0.002,0.002,1653088475.951693,0.011215114593497333,1653088475.9404778,20.0
374,-1.024,-0.002,0.002,1653088476.130157,-0.010320949554440517,1653088476.140478,20.0
375,-1.024,-0.002,0.002,1653088476.333668,-0.00680994987487793,1653088476.340478,20.0
376,-1.024,-0.002,0.002,1653088476.5355,-0.004977893829348545,1653088476.540478,20.0
377,-1.024,-0.002,0.002,1653088476.738658,-0.0018199920654353718,1653088476.740478,20.0
378,-1.024,-0.002,0.002,1653088476.940649,0.00017108917235475474,1653088476.9404778,20.0
379,-1.024,-0.002,0.002,1653088477.142818,0.002340030670168858,1653088477.140478,20.0
380,-1.024,-0.002,0.002,1653088477.34577,0.005291938781738281,1653088477.340478,20.0
381,-1.024,-0.003,0.002,1653088477.549465,0.008986997604367275,1653088477.540478,20.0
382,-1.025,-0.002,0.002,1653088477.751241,0.010763025283807792,1653088477.740478,20.0
383,-1.024,-0.002,0.002,1653088477.930484,-0.009993886947640362,1653088477.9404778,20.0
384,-1.024,-0.002,0.002,1653088478.131919,-0.008559036254894181,1653088478.140478,20.0
385,-1.025,-0.002,0.002,1653088478.337302,-0.003175973892211914,1653088478.340478,20.0
386,-1.025,-0.002,0.002,1653088478.539427,-0.0010509014129667094,1653088478.540478,20.0
387,-1.025,-0.002,0.001,1653088478.740298,-0.0001799106597957234,1653088478.740478,20.0
388,-1.025,-0.002,0.002,1653088478.943435,0.0029570102691565125,1653088478.9404778,20.0
389,-1.024,-0.002,0.001,1653088479.145293,0.004815053939807967,1653088479.140478,20.0
390,-1.024,-0.002,0.002,1653088479.348651,0.008172988891601562,1653088479.340478,20.0
391,-1.025,-0.002,0.001,1653088479.551981,0.011503028869626064,1653088479.540478,20.0
392,-1.025,-0.002,0.002,1653088479.73163,-0.00884785652161213,1653088479.740478,20.0
393,-1.024,-0.002,0.002,1653088479.933895,-0.006582832336434308,1653088479.9404778,20.0
394,-1.024,-0.002,0.002,1653088480.135671,-0.004807043075572892,1653088480.140478,20.0
395,-1.024,-0.002,0.002,1653088480.339169,-0.0013089179992675781,1653088480.340478,20.0
396,-1.024,-0.002,0.002,1653088480.542232,0.0017540931701631735,1653088480.540478,20.0
397,-1.025,-0.002,0.002,1653088480.744259,0.003781175613397636,1653088480.740478,20.0
398,-1.024,-0.002,0.002,1653088480.946313,0.0058349609374914735,1653088480.9404778,20.0
399,-1.024,-0.002,0.002,1653088481.148772,0.008294057846057967,1653088481.140478,20.0
400,-1.024,-0.002,0.002,1653088481.351733,0.011255025863647461,1653088481.340478,20.0
401,-1.024,-0.002,0.002,1653088481.530838,-0.009639930725100498,1653088481.540478,20.0
402,-1.024,-0.002,0.002,1653088481.733557,-0.0069209575653133015,1653088481.740478,20.0
403,-1.025,-0.002,0.002,1653088481.935217,-0.005261039733895245,1653088481.9404778,20.0
404,-1.024,-0.002,0.002,1653088482.139318,-0.0011599540710562906,1653088482.140478,20.0
405,-1.025,-0.002,0.001,1653088482.341556,0.0010781288146972656,1653088482.340478,20.0
406,-1.025,-0.002,0.002,1653088482.543836,0.003358173370358486,1653088482.540478,20.0
407,-1.024,-0.002,0.002,1653088482.746002,0.005524015426630058,1653088482.740478,20.0
408,-1.024,-0.002,0.002,1653088482.949062,0.00858416557311159,1653088482.9404778,20.0
409,-1.024,-0.002,0.002,1653088483.150521,0.01004309654234703,1653088483.140478,20.0
410,-1.024,-0.002,0.002,1653088483.332214,-0.008263826370239258,1653088483.340478,20.0
411,-1.024,-0.002,0.002,1653088483.533468,-0.0070099353790311625,1653088483.540478,20.0
412,-1.024,-0.002,0.002,1653088483.736831,-0.0036469936370906453,1653088483.740478,20.0
413,-1.024,-0.002,0.002,1653088483.938073,-0.002405023574837628,1653088483.9404778,20.0
414,-1.024,-0.002,0.002,1653088484.140976,0.0004980087280159751,1653088484.140478,20.0
415,-1.024,-0.002,0.002,1653088484.344589,0.004111051559448242,1653088484.340478,20.0
416,-1.024,-0.002,0.002,1653088484.545416,0.004938173294064541,1653088484.540478,20.0
417,-1.024,-0.002,0.002,1653088484.749176,0.00869808197020916,1653088484.740478,20.0
418,-1.024,-0.002,0.002,1653088484.951696,0.011217975616446552,1653088484.9404778,20.0
419,-1.024,-0.002,0.002,1653088485.13226,-0.008217859268199845,1653088485.140478,20.0
420,-1.024,-0.002,0.001,1653088485.333203,-0.0072748661041259766,1653088485.340478,20.0
421,-1.0230000000000001,-0.002,0.002,1653088485.536767,-0.003710937500002842,1653088485.540478,20.0
422,-1.024,-0.002,0.002,1653088485.73925,-0.0012279987335261922,1653088485.740478,20.0
423,-1.024,-0.002,0.002,1653088485.94189,0.0014120578765783875,1653088485.9404778,20.0
424,-1.024,-0.002,0.002,1653088486.143322,0.00284404754637535,1653088486.140478,20.0
425,-1.024,-0.002,0.002,1653088486.346659,0.006181001663208008,1653088486.340478,20.0
426,-1.024,-0.002,0.002,1653088486.548968,0.008490133285519619,1653088486.540478,20.0
427,-1.024,-0.002,0.002,1653088486.750496,0.01001796722411541,1653088486.740478,20.0
428,-1.024,-0.002,0.002,1653088486.930972,-0.009505844116219464,1653088486.9404778,20.0
429,-1.024,-0.002,0.002,1653088487.134153,-0.0063250541687125406,1653088487.140478,20.0
430,-1.024,-0.002,0.002,1653088487.336804,-0.003674030303955078,1653088487.340478,20.0
431,-1.024,-0.002,0.002,1653088487.539025,-0.0014528751373319437,1653088487.540478,20.0
432,-1.024,-0.002,0.001,1653088487.740855,0.0003770351409855266,1653088487.740478,20.0
433,-1.024,-0.002,0.002,1653088487.942145,0.0016671657562170594,1653088487.9404778,20.0
434,-1.024,-0.002,0.002,1653088488.145381,0.004903030395496444,1653088488.140478,20.0
435,-1.024,-0.002,0.002,1653088488.348958,0.008480072021484375,1653088488.340478,20.0
436,-1.024,-0.002,0.002,1653088488.551283,0.010804939270016689,1653088488.540478,20.0
437,-1.024,-0.002,0.002,1653088488.730578,-0.009899997711187325,1653088488.740478,20.0
438,-1.024,-0.002,0.002,1653088488.933427,-0.007050848007210675,1653088488.9404778,20.0
439,-1.024,-0.002,0.002,1653088489.137431,-0.0030470371246451577,1653088489.140478,20.0
440,-1.024,-0.002,0.001,1653088489.33803,-0.002447843551635742,1653088489.340478,20.0
441,-1.024,-0.002,0.001,1653088489.540729,0.00025110244750692345,1653088489.540478,20.0
442,-1.024,-0.002,0.002,1653088489.744073,0.0035949707031193157,1653088489.740478,20.0
443,-1.024,-0.002,0.002,1653088489.945568,0.005090141296378192,1653088489.9404778,20.0
444,-1.024,-0.002,0.002,1653088490.14808,0.007602167129505233,1653088490.140478,20.0
445,-1.024,-0.002,0.002,1653088490.35061,0.010132074356079102,1653088490.340478,20.0
446,-1.024,-0.002,0.001,1653088490.531751,-0.008727025985720616,1653088490.540478,20.0
447,-1.024,-0.002,0.002,1653088490.734013,-0.0064648628234920125,1653088490.740478,20.0
448,-1.024,-0.002,0.002,1653088490.937504,-0.002973890304573956,1653088490.9404778,20.0
449,-1.024,-0.002,0.001,1653088491.139268,-0.0012100219726676187,1653088491.140478,20.0
450,-1.024,-0.002,0.001,1653088491.340453,-2.5033950805664062e-05,1653088491.340478,20.0
451,-1.024,-0.002,0.002,1653088491.544664,0.004185962676999111,1653088491.540478,20.0
452,-1.024,-0.002,0.002,1653088491.7471,0.006622171401971855,1653088491.740478,20.0
453,-1.024,-0.002,0.002,1653088491.948845,0.008366966247550067,1653088491.9404778,20.0
454,-1.024,-0.002,0.002,1653088492.150674,0.010196161270130233,1653088492.140478,20.0
455,-1.024,-0.002,0.002,1653088492.330789,-0.009688854217529297,1653088492.340478,20.0
456,-1.024,-0.002,0.002,1653088492.533831,-0.006647062301638584,1653088492.540478,20.0
457,-1.024,-0.002,0.001,1653088492.73678,-0.0036980152130183797,1653088492.740478,20.0
458,-1.024,-0.002,0.002,1653088492.939506,-0.0009718894958581359,1653088492.9404778,20.0
459,-1.025,-0.002,0.002,1653088493.142586,0.0021080493926888266,1653088493.140478,20.0
460,-1.024,-0.002,0.002,1653088493.343425,0.002947092056274414,1653088493.340478,20.0
461,-1.024,-0.002,0.002,1653088493.546633,0.006155061721798916,1653088493.540478,20.0
462,-1.024,-0.002,0.002,1653088493.749193,0.00871500968932537,1653088493.740478,20.0
463,-1.024,-0.002,0.002,1653088493.951841,0.011363172531119403,1653088493.9404778,20.0
464,-1.024,-0.002,0.002,1653088494.153404,0.012926054000843124,1653088494.140478,20.0
465,-1.024,-0.002,0.002,1653088494.333134,-0.00734400749206543,1653088494.340478,20.0
466,-1.024,-0.002,0.001,1653088494.536578,-0.0039000034332303812,1653088494.540478,20.0
467,-1.024,-0.002,0.002,1653088494.739638,-0.0008398532867488484,1653088494.740478,20.0
468,-1.024,-0.002,0.002,1653088494.941087,0.000609064102164325,1653088494.9404778,20.0
469,-1.024,-0.003,0.002,1653088495.142577,0.0020989894866829673,1653088495.140478,20.0
470,-1.025,-0.002,0.002,1653088495.345324,0.004846096038818359,1653088495.340478,20.0
471,-1.025,-0.002,0.002,1653088495.547269,0.006791162490841884,1653088495.540478,20.0
472,-1.024,-0.002,0.002,1653088495.752299,0.011821126937860527,1653088495.740478,20.0
473,-1.024,-0.002,0.002,1653088495.952323,0.011845016479483661,1653088495.9404778,20.0
474,-1.024,-0.002,0.001,1653088496.132268,-0.008209991455089494,1653088496.140478,20.0
475,-1.024,-0.002,0.001,1653088496.336889,-0.0035889148712158203,1653088496.340478,20.0
476,-1.024,-0.002,0.002,1653088496.53979,-0.0006880283355741312,1653088496.540478,20.0
477,-1.024,-0.002,0.002,1653088496.74194,0.0014620780944767375,1653088496.740478,20.0
478,-1.024,-0.002,0.002,1653088496.944473,0.003995084762564716,1653088496.9404778,20.0
479,-1.024,-0.002,0.002,1653088497.147303,0.006825160980213241,1653088497.140478,20.0
480,-1.024,-0.002,0.002,1653088497.347426,0.006947994232177734,1653088497.340478,20.0
481,-1.024,-0.002,0.001,1653088497.550525,0.010047006607052822,1653088497.540478,20.0
482,-1.024,-0.002,0.002,1653088497.753154,0.01267609596251873,1653088497.740478,20.0
483,-1.024,-0.002,0.002,1653088497.933408,-0.0070699214935388,1653088497.9404778,20.0
484,-1.024,-0.002,0.002,1653088498.136685,-0.003793048858653947,1653088498.140478,20.0
485,-1.024,-0.002,0.002,1653088498.339463,-0.0010149478912353516,1653088498.340478,20.0
486,-1.024,-0.002,0.002,1653088498.54024,-0.00023789405823038123,1653088498.540478,20.0
487,-1.0230000000000001,-0.002,0.002,1653088498.743815,0.003337001800531425,1653088498.740478,20.0
488,-1.024,-0.002,0.002,1653088498.945516,0.005038166046134052,1653088498.9404778,20.0
489,-1.0230000000000001,-0.002,0.001,1653088499.149608,0.009129953384388045,1653088499.140478,20.0
490,-1.024,-0.002,0.002,1653088499.351796,0.011317968368530273,1653088499.340478,20.0
491,-1.024,-0.002,0.002,1653088499.554031,0.013552951812741298,1653088499.540478,20.0
492,-1.024,-0.002,0.002,1653088499.734977,-0.005500936508184395,1653088499.740478,20.0
493,-1.024,-0.002,0.002,1653088499.93646,-0.004017925262459698,1653088499.9404778,20.0
494,-1.024,-0.002,0.002,1653088500.138856,-0.0016220092773551187,1653088500.140478,20.0
495,-1.024,-0.002,0.002,1653088500.341883,0.0014050006866455078,1653088500.340478,20.0
496,-1.024,-0.002,0.002,1653088500.544319,0.00384097099303915,1653088500.540478,20.0
497,-1.024,-0.002,0.002,1653088500.746471,0.005992984771722831,1653088500.740478,20.0
498,-1.024,-0.002,0.002,1653088500.949364,0.008886003494254169,1653088500.9404778,20.0
499,-1.024,-0.002,0.002,1653088501.15191,0.011432123184192733,1653088501.140478,20.0
500,-1.024,-0.002,0.002,1653088501.353259,0.012781143188476562,1653088501.340478,20.0
501,-1.024,-0.002,0.002,1653088501.532473,-0.008004856109621983,1653088501.540478,20.0
502,-1.024,-0.002,0.002,1653088501.736923,-0.003554964065557442,1653088501.740478,20.0
503,-1.024,-0.002,0.002,1653088501.938848,-0.0016299247741784484,1653088501.9404778,20.0
504,-1.024,-0.002,0.002,1653088502.140422,-5.583763123695462e-05,1653088502.140478,20.0
505,-1.024,-0.002,0.001,1653088502.343432,0.0029540061950683594,1653088502.340478,20.0
506,-1.024,-0.002,0.002,1653088502.546191,0.005713033676144619,1653088502.540478,20.0
507,-1.024,-0.002,0.002,1653088502.750187,0.009708976745599784,1653088502.740478,20.0
508,-1.024,-0.002,0.002,1653088502.95083,0.010352039337149677,1653088502.9404778,20.0
509,-1.024,-0.002,0.002,1653088503.154827,0.01434917449950035,1653088503.140478,20.0
510,-1.024,-0.002,0.002,1653088503.333472,-0.007005929946899414,1653088503.340478,20.0
511,-1.024,-0.001,0.001,1653088503.535612,-0.004865837097170811,1653088503.540478,20.0
512,-1.024,-0.002,0.002,1653088503.740142,-0.0003358364105281453,1653088503.740478,20.0
513,-1.024,-0.002,0.002,1653088503.940104,-0.00037393569947141714,1653088503.9404778,20.0
514,-1.022,-0.002,0.002,1653088504.143088,0.0026101589202767173,1653088504.140478,20.0
515,-1.024,-0.002,0.002,1653088504.347033,0.006555080413818359,1653088504.340478,20.0
516,-1.0230000000000001,-0.002,0.002,1653088504.548339,0.007860946655270595,1653088504.540478,20.0
517,-1.0230000000000001,-0.002,0.002,1653088504.751907,0.011429166793817558,1653088504.740478,20.0
518,-1.0230000000000001,-0.001,0.002,1653088504.954428,0.013950014114371356,1653088504.9404778,20.0
519,-1.024,-0.002,0.002,1653088505.134696,-0.005781936645519181,1653088505.140478,20.0
520,-1.024,-0.002,0.002,1653088505.335966,-0.004511833190917969,1653088505.340478,20.0
521,-1.024,-0.002,0.002,1653088505.538622,-0.001856040954592686,1653088505.540478,20.0
522,-1.024,-0.002,0.001,1653088505.742656,0.0021780490875187297,1653088505.740478,20.0
523,-1.024,-0.002,0.001,1653088505.944106,0.003628158569327411,1653088505.9404778,20.0
524,-1.024,-0.002,0.002,1653088506.146457,0.005979013442981795,1653088506.140478,20.0
525,-1.024,-0.002,0.002,1653088506.34876,0.008281946182250977,1653088506.340478,20.0
526,-1.024,-0.002,0.002,1653088506.552001,0.011523056030270595,1653088506.540478,20.0
527,-1.024,-0.001,0.001,1653088506.754342,0.013864135742181816,1653088506.740478,20.0
528,-1.024,-0.002,0.002,1653088506.932802,-0.007675981521614972,1653088506.9404778,20.0
529,-1.024,-0.002,0.001,1653088507.135907,-0.004571008682262345,1653088507.140478,20.0
530,-1.024,-0.002,0.001,1653088507.338411,-0.0020668506622314453,1653088507.340478,20.0
531,-1.024,-0.002,0.002,1653088507.540935,0.00045709609985067345,1653088507.540478,20.0
532,-1.024,-0.002,0.001,1653088507.743457,0.0029791355132999797,1653088507.740478,20.0
533,-1.024,-0.002,0.002,1653088507.945998,0.005520009994498309,1653088507.9404778,20.0
534,-1.024,-0.002,0.002,1653088508.148347,0.007868957519519881,1653088508.140478,20.0
535,-1.024,-0.002,0.002,1653088508.351833,0.011355161666870117,1653088508.340478,20.0
536,-1.024,-0.002,0.002,1653088508.554255,0.013777065277096767,1653088508.540478,20.0
537,-1.0230000000000001,-0.002,0.002,1653088508.734014,-0.006463909149175606,1653088508.740478,20.0
538,-1.0230000000000001,-0.002,0.001,1653088508.93707,-0.0034080505371179015,1653088508.9404778,20.0
539,-1.024,-0.002,0.002,1653088509.139415,-0.0010629177093619546,1653088509.140478,20.0
540,-1.024,-0.002,0.002,1653088509.340778,0.0003001689910888672,1653088509.340478,20.0
541,-1.024,-0.002,0.001,1653088509.54265,0.0021720409393282125,1653088509.540478,20.0
542,-1.024,-0.002,0.002,1653088509.746922,0.0064440727233829875,1653088509.740478,20.0
543,-1.024,-0.002,0.002,1653088509.949866,0.00938811302184206,1653088509.9404778,20.0
544,-1.024,-0.002,0.002,1653088510.151911,0.011433076858509139,1653088510.140478,20.0
545,-1.024,-0.002,0.002,1653088510.35325,0.012772083282470703,1653088510.340478,20.0
546,-1.024,-0.002,0.001,1653088510.534142,-0.006335926055911045,1653088510.540478,20.0
547,-1.025,-0.002,0.002,1653088510.736677,-0.0038010120391902547,1653088510.740478,20.0
548,-1.024,-0.002,0.002,1653088510.939146,-0.0013319015503014953,1653088510.9404778,20.0
549,-1.024,-0.002,0.002,1653088511.141671,0.0011929988860970298,1653088511.140478,20.0
550,-1.024,-0.002,0.002,1653088511.344666,0.004188060760498047,1653088511.340478,20.0
551,-1.024,-0.002,0.002,1653088511.546082,0.005604076385495205,1653088511.540478,20.0
552,-1.0230000000000001,-0.001,0.001,1653088511.74895,0.008472061157220878,1653088511.740478,20.0
553,-1.024,-0.002,0.001,1653088511.951547,0.011068964004508075,1653088511.9404778,20.0
554,-1.024,-0.001,0.001,1653088512.154348,0.01386995315550621,1653088512.140478,20.0
555,-1.024,-0.002,0.002,1653088512.334374,-0.006103992462158203,1653088512.340478,20.0
556,-1.024,-0.002,0.002,1653088512.536662,-0.0038158416748075297,1653088512.540478,20.0
557,-1.024,-0.001,0.002,1653088512.739608,-0.0008698940277156453,1653088512.740478,20.0
558,-1.025,-0.002,0.001,1653088512.942037,0.0015591621398840516,1653088512.9404778,20.0
559,-1.024,-0.002,0.002,1653088513.143409,0.0029310703277474204,1653088513.140478,20.0
560,-1.025,-0.002,0.002,1653088513.346781,0.006303071975708008,1653088513.340478,20.0
561,-1.024,-0.002,0.001,1653088513.549277,0.008799123764035244,1653088513.540478,20.0
562,-1.025,-0.002,0.001,1653088513.750873,0.010395145416254081,1653088513.740478,20.0
563,-1.024,-0.002,0.001,1653088513.953242,0.012764120101920184,1653088513.9404778,20.0
564,-1.024,-0.002,0.001,1653088514.135154,-0.00532393455506508,1653088514.140478,20.0
565,-1.024,-0.002,0.002,1653088514.335232,-0.00524592399597168,1653088514.340478,20.0
566,-1.025,-0.002,0.001,1653088514.540335,-0.00014300346374795936,1653088514.540478,20.0
567,-1.024,-0.002,0.002,1653088514.742732,0.002254104614252128,1653088514.740478,20.0
568,-1.024,-0.002,0.001,1653088514.943524,0.0030459403991613954,1653088514.9404778,20.0
569,-1.024,-0.002,0.002,1653088515.145844,0.005366039276111678,1653088515.140478,20.0
570,-1.0230000000000001,-0.002,0.002,1653088515.348593,0.008115053176879883,1653088515.340478,20.0
571,-1.024,-0.002,0.002,1653088515.550923,0.010445165634152431,1653088515.540478,20.0
572,-1.024,-0.002,0.002,1653088515.752719,0.012240982055658378,1653088515.740478,20.0
573,-1.024,-0.002,0.002,1653088515.932695,-0.007783031463631573,1653088515.9404778,20.0
574,-1.024,-0.002,0.002,1653088516.137137,-0.0033410072326773843,1653088516.140478,20.0
575,-1.024,-0.002,0.002,1653088516.339317,-0.0011608600616455078,1653088516.340478,20.0
576,-1.024,-0.001,0.001,1653088516.542319,0.0018411159515352438,1653088516.540478,20.0
577,-1.024,-0.002,0.001,1653088516.745202,0.004724121093744316,1653088516.740478,20.0
578,-1.024,-0.002,0.001,1653088516.947013,0.006534957885733661,1653088516.9404778,20.0
579,-1.024,-0.002,0.002,1653088517.149081,0.008603048324573592,1653088517.140478,20.0
580,-1.024,-0.002,0.002,1653088517.352574,0.012096166610717773,1653088517.340478,20.0
581,-1.024,-0.002,0.002,1653088517.552671,0.012193012237545986,1653088517.540478,20.0
582,-1.024,-0.002,0.002,1653088517.732905,-0.007573032379156075,1653088517.740478,20.0
583,-1.025,-0.002,0.002,1653088517.93565,-0.004827833175667706,1653088517.9404778,20.0
584,-1.024,-0.002,0.002,1653088518.139494,-0.0009840011596793374,1653088518.140478,20.0
585,-1.024,-0.002,0.002,1653088518.341441,0.0009629726409912109,1653088518.340478,20.0
586,-1.024,-0.002,0.002,1653088518.545116,0.0046380043029756735,1653088518.540478,20.0
587,-1.025,-0.002,0.002,1653088518.748634,0.008156156539911308,1653088518.740478,20.0
588,-1.024,-0.002,0.002,1653088518.948884,0.008406066894522723,1653088518.9404778,20.0
589,-1.025,-0.002,0.001,1653088519.150948,0.010470104217517928,1653088519.140478,20.0
590,-1.024,-0.002,0.002,1653088519.353675,0.013196945190429688,1653088519.340478,20.0
591,-1.025,-0.002,0.001,1653088519.534555,-0.005922985076907139,1653088519.540478,20.0
592,-1.024,-0.003,0.002,1653088519.73652,-0.003957891464239083,1653088519.740478,20.0
593,-1.025,-0.002,0.001,1653088519.940052,-0.00042591094971555776,1653088519.9404778,20.0
594,-1.025,-0.002,0.001,1653088520.139927,-0.0005510330200308999,1653088520.140478,20.0
595,-1.024,-0.002,0.002,1653088520.344056,0.0035779476165771484,1653088520.340478,20.0
596,-1.025,-0.002,0.001,1653088520.546593,0.006115007400509853,1653088520.540478,20.0
